code,name
36.00,"Забор, очистка и распределение воды"
37.00,Обраб. и утилизация сточных вод
38.11,Сбор неопасных отходов
38.21,Обраб. и утилизация неопасных отходов
46.11,Деят. агентов по оптовой торговле с/х сырьём
46.21,"Опт. торговля зерном, необраб. табаком и кормами"
46.31,Опт. торговля фруктами и овощами
46.61,Опт. торговля с/х машинами и оборудованием
47.25,Торговля розн. алкогольными напитками
47.41,Торговля розн. компьютерами и периферийным оборудованием
47.43,Торговля розн. аудио- и видеотехникой
47.51,Торговля розн. текстильными изделиями
47.71,Торговля розн. одеждой
47.75,Торговля розн. косметическими и парфюмерными товарами
50.10,Деят. морского пассажирского транспорта
51.10,Деят. воздушного пассажирского транспорта
53.10,Деят. почтовой связи
55.10,Деят. гостиниц и аналогичных средств размещения
56.10,Деят. ресторанов и кафе
58.11,Издание книг и периодических публикаций
59.11,Произв. кинофильмов и телевизионных программ
60.10,Деят. в обл. радиовещания
61.10,Деят. в обл. проводной электросвязи
61.20,Деят. в обл. беспроводной электросвязи
64.11,Деят. Центрального банка
64.19,Деят. прочих банков и кредитных учреждений
65.11,Страхование жизни
66.11,Управл. финансовыми рынками и биржами
68.10,Покупка и продажа собственного недвижимого имущества
68.20,Аренда и управл. собственным недвижимым имуществом
79.11,Деят. туристических агентств
81.10,Деят. по комплексному обслуж. помещений
81.22,Деят. по чистке и уборке жилых зданий
93.11,Деят. спортивных объектов и стадионов
93.19,Деят. в обл. спорта прочая
94.11,Деят. коммерческих организаций и объединений
95.21,Ремонт электронной бытовой техники
97.00,Деят. домашних хозяйств с наёмными работниками
10.11,  Произв.   мяса    (кроме мяса    птицы)
26.20,  Произв.  компьютеров  и   периферийного  оборудования
47.91,  Торговля   розн.   через   инт.
62.01,  разраб.   компьютерного   ПО
85.22,  Образов.   высшее
41.20,  стр-во   жилых   и   нежилых   зданий
49.10,  перевозки   ж.-д.   пассажирские
72.19,  науч.   исслед.   в   обл.   техн.   наук
86.10,  деят.   больничных   орг-ций
63.11,  деят.   по   обработке   данных   и   размещению   информации
62.02,деят.  консультативная  в  обл. компьютерных технологий
69.10,деят.  в  обл.  права
52.10,хранение  и  складирование  грузов
45.11,торговля  автомобилями  и  легк.  автотрансп.  ср-вами
43.21,произв.  электромонтажных  работ
