left_code,left_name,left_description,right_code,right_name,right_description,label
BDU:2024-00892,Уязвимость реализации протокола SSH в продуктах Cisco IOS,Уязвимость позволяет нарушителю провести атаку типа человек посередине,BDU:2024-00892,УЯЗВИМОСТЬ ПРОТОКОЛА SSH В CISCO IOS,уязвимость ssh cisco ios атака человек посередине,1
BDU:2023-01210,Уязвимость функции __get_user_pages_fast() ядра операционной системы Linux,Уязвимость позволяет нарушителю повысить привилегии,BDU:2023-05421,Уязвимость библиотеки OpenSSL связанная с некорректной обработкой входных данных,Уязвимость позволяет нарушителю вызвать отказ в обслуживании,0
43.21,Производство электромонтажных работ,,43.22,Производство санитарно-технических работ,,0
BDU:2024-00892,Уязвимость реализации протокола SSH в продуктах Cisco IOS,Уязвимость позволяет нарушителю провести атаку типа человек посередине,BDU:2024-00892,уязвимость ssh cisco ios человек посередине,уязвимость протокола ssh cisco ios xe позволяет атаку mitm,1
BDU:2023-08834,Уязвимость веб-сервера Apache HTTP Server связанная с переполнением буфера,Уязвимость модуля mod_proxy позволяет нарушителю выполнить произвольный код,BDU:2023-08834,уязвимость apache http server переполнение буфера mod_proxy,уязвимость mod_proxy apache позволяет выполнить произвольный код,1
41.20,Строительство жилых и нежилых зданий,,41.20,стр-во жилых и нежилых зданий,,1
62.01,Разработка компьютерного программного обеспечения,,62.1,разраб. компьютерного ПО,,1
47.21,Торговля розничная фруктами и овощами,,47.91,Торговля розничная через интернет,,0
47.91,Торговля розничная через интернет,,47.91,ТОРГОВЛЯ РОЗНИЧНАЯ ЧЕРЕЗ ИНТЕРНЕТ,,1
BDU:2024-05512,Уязвимость компонента sudo операционных систем Linux и Unix,Уязвимость позволяет нарушителю повысить привилегии до уровня суперпользователя,BDU:2024-05512,УЯЗВИМОСТЬ КОМПОНЕНТА SUDO LINUX/UNIX,,1
69.10,Деятельность в области права,,62.01,Разработка программного обеспечения,,0
BDU:2023-11567,Уязвимость BIND DNS бесконечная рекурсия,уязвимость bind dns отказ в обслуживании,BDU:2024-03788,Уязвимость pip подмена пакетов,уязвимость pip supply chain,0
